,camis,name,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,inspection_type,address,zip_code,rating,price,cuisine
0,30075445,morris park bake shop,bronx,1007,morris park ave,10462,7188924968,Bakery,2016-02-18,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,Cycle Inspection / Initial Inspection,1007 morris park ave,10462,4.0,$$,bakeries
1,30075445,morris park bake shop,bronx,1007,morris park ave,10462,7188924968,Bakery,2017-05-18,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,Cycle Inspection / Initial Inspection,1007 morris park ave,10462,4.0,$$,bakeries
2,30075445,morris park bake shop,bronx,1007,morris park ave,10462,7188924968,Bakery,2018-05-11,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,5.0,Cycle Inspection / Initial Inspection,1007 morris park ave,10462,4.0,$$,bakeries
3,40360076,carvel,brooklyn,203,church avenue,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",2016-02-09,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,Cycle Inspection / Initial Inspection,203 church ave,11218,3.5,$,icecream
4,40360076,carvel,brooklyn,203,church avenue,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",2017-03-16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6.0,Cycle Inspection / Initial Inspection,203 church ave,11218,3.5,$,icecream
5,40360076,carvel,brooklyn,203,church avenue,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",2018-03-20,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Initial Inspection,203 church ave,11218,3.5,$,icecream
6,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2015-07-23,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,21.0,Cycle Inspection / Initial Inspection,12908 20 ave,11356,4.5,$,delis
7,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2015-08-12,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,Cycle Inspection / Re-inspection,12908 20 ave,11356,4.5,$,delis
8,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2016-01-28,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,18.0,Cycle Inspection / Initial Inspection,12908 20 ave,11356,4.5,$,delis
9,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2016-02-11,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,Cycle Inspection / Re-inspection,12908 20 ave,11356,4.5,$,delis
10,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2016-09-13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,Cycle Inspection / Initial Inspection,12908 20 ave,11356,4.5,$,delis
11,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2017-12-01,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,24.0,Cycle Inspection / Initial Inspection,12908 20 ave,11356,4.5,$,delis
12,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2018-01-24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,Cycle Inspection / Re-inspection,12908 20 ave,11356,4.5,$,delis
13,40361618,sal's deli,queens,12908,20 avenue,11356,7186619498,Delicatessen,2018-06-05,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,Cycle Inspection / Initial Inspection,12908 20 ave,11356,4.5,$,delis
14,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2016-03-11,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,14.0,Cycle Inspection / Initial Inspection,60 wall st,10005,2.0,$,sandwiches
15,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2016-04-25,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,51.0,Cycle Inspection / Re-inspection,60 wall st,10005,2.0,$,sandwiches
16,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2016-09-06,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,33.0,Cycle Inspection / Initial Inspection,60 wall st,10005,2.0,$,sandwiches
17,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2016-10-07,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,24.0,Cycle Inspection / Re-inspection,60 wall st,10005,2.0,$,sandwiches
18,40362715,the country cafe,manhattan,60,wall street,10005,3474279132,Sandwiches/Salads/Mixed Buffet,2017-03-24,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10.0,Cycle Inspection / Initial Inspection,60 wall st,10005,2.0,$,sandwiches
